lambda_1,lambda_2,x_min_mode,x_max_mode,step_mode,count_all,count_ft,fraction_all,cumulative_fraction_all,fraction_ft,mode_id
1.20793,1.20839,10,51,0.015004,10,0,0.00011301478233352923,0.9706726639844494,0.0,181
1.5406,1.54439,5,76,0.020458,10,0,0.00011301478233352923,0.9707856787667829,0.0,182
1.5406,1.54439,10,70,0.019438,10,0,0.00011301478233352923,0.9708986935491164,0.0,183
1.5406,1.54439,10,80,0.012277,10,0,0.00011301478233352923,0.9710117083314499,0.0,184
1.5406,1.54439,10,100,0.038876,10,0,0.00011301478233352923,0.9711247231137834,0.0,185
1.5406,1.54439,10,111,0.022507,10,0,0.00011301478233352923,0.9712377378961169,0.0,186
1.5406,1.54439,28,31,0.010231,10,0,0.00011301478233352923,0.9713507526784504,0.0,187
2.0785,,2,166,0.05,10,10,0.00011301478233352923,0.9714637674607839,0.004725897920604915,188
,,10,120,0.020458,10,0,0.00011301478233352923,0.9715767822431174,0.0,189
1.20793,1.20839,10,15,0.015004,9,0,0.00010171330410017631,0.9716784955472175,0.0,190
1.20793,1.20839,20,32,0.009676,9,0,0.00010171330410017631,0.9717802088513177,0.0,191
1.20793,1.20839,20,65,0.015004,9,0,0.00010171330410017631,0.9718819221554178,0.0,192
1.20793,1.20839,22,30,0.015004,9,0,0.00010171330410017631,0.9719836354595179,0.0,193
1.5406,1.54439,4,70,0.020458,9,0,0.00010171330410017631,0.9720853487636181,0.0,194
1.5406,1.54439,10,90,0.010231,9,0,0.00010171330410017631,0.9721870620677182,0.0,195
1.5406,1.54439,10,90,0.0399,9,0,0.00010171330410017631,0.9722887753718183,0.0,196
1.5406,1.54439,10,110,0.02,9,9,0.00010171330410017631,0.9723904886759185,0.004253308128544423,197
1.5406,1.54439,20,60,0.020458,9,0,0.00010171330410017631,0.9724922019800186,0.0,198
1.5406,1.54439,30,130,0.020458,9,0,0.00010171330410017631,0.9725939152841188,0.0,199
,,7,145,0.02,9,9,0.00010171330410017631,0.9726956285882189,0.004253308128544423,200
0.41383,,1,50,0.001,8,8,9.041182586682339e-05,0.9727860404140857,0.003780718336483932,201
0.827154,,0,150,0.004,8,8,9.041182586682339e-05,0.9728764522399524,0.003780718336483932,202
1.20793,1.20839,5,20,0.015004,8,0,9.041182586682339e-05,0.9729668640658192,0.0,203
1.20793,1.20839,5,53,0.015004,8,0,9.041182586682339e-05,0.973057275891686,0.0,204
1.20793,1.20839,5,90,0.015004,8,0,9.041182586682339e-05,0.9731476877175528,0.0,205
1.20793,1.20839,10,22,0.015004,8,0,9.041182586682339e-05,0.9732380995434196,0.0,206
1.20793,1.20839,10,52,0.015004,8,0,9.041182586682339e-05,0.9733285113692863,0.0,207
1.20793,1.20839,10,92,0.015004,8,0,9.041182586682339e-05,0.9734189231951531,0.0,208
1.20793,1.20839,10,96,0.015004,8,0,9.041182586682339e-05,0.9735093350210199,0.0,209
