fold,eval_set,scope,metric,single_phase_ft,all_real_ft,difference_single_minus_all
1,multiphase_diagnostic,opxrd,mae_ang,10.69356286852522,0.8337755085996985,9.859787359925521
1,multiphase_diagnostic,opxrd,mae_vol,122.02811726983988,15.667052286975789,106.3610649828641
1,multiphase_diagnostic,opxrd,mape_vol_med,151.2920379638672,9.693278312683105,141.59875965118408
2,single_phase,combined,sys_acc,0.5474137931034483,0.5495689655172413,-0.0021551724137930384
2,single_phase,combined,sg_acc,0.37719298245614036,0.37719298245614036,0.0
2,single_phase,combined,sg_top5,0.6491228070175439,0.6622807017543859,-0.013157894736842035
2,single_phase,combined,el_f1_micro,0.5262732417138237,0.508273228680526,0.01800001303329768
2,single_phase,combined,el_exact,0.003676470588235294,0.003676470588235294,0.0
2,single_phase,combined,mae_a,2.949014635579796,2.989097113914126,-0.040082478334329874
2,single_phase,combined,mae_a_med,1.9686005685724695,2.0390032598600882,-0.07040269128761878
2,single_phase,combined,mape_a_med,26.481095278598993,25.93867541815358,0.5424198604454133
2,single_phase,combined,mae_b,3.303114751006481,3.3045356509692176,-0.0014208999627367547
2,single_phase,combined,mape_b_med,23.9533916448584,22.89588000338644,1.057511641471958
2,single_phase,combined,mae_c,4.242615218013252,4.338030132511551,-0.0954149144982992
2,single_phase,combined,mape_c_med,29.935802216693446,32.021763350312426,-2.08596113361898
2,single_phase,combined,mae_ang,5.595192788788489,5.5856133109905866,0.009579477797902136
2,single_phase,combined,mae_vol,1691.2015845984743,1694.8675307892915,-3.6659461908172943
2,single_phase,combined,mape_vol_med,41.28573036193848,43.2992057800293,-2.0134754180908203
2,single_phase,rruff,sys_acc,0.5692883895131086,0.5543071161048689,0.014981273408239626
2,single_phase,rruff,sg_acc,0.37719298245614036,0.37719298245614036,0.0
2,single_phase,rruff,sg_top5,0.6491228070175439,0.6622807017543859,-0.013157894736842035
2,single_phase,rruff,el_f1_micro,0.5262732417138237,0.508273228680526,0.01800001303329768
2,single_phase,rruff,el_exact,0.003676470588235294,0.003676470588235294,0.0
2,single_phase,rruff,mae_a,2.6999804718355387,2.6827049375543726,0.017275534281166127
2,single_phase,rruff,mae_a_med,1.8842563470639133,1.9174273397689916,-0.033170992705078284
2,single_phase,rruff,mape_a_med,25.61810435513628,25.891844791423335,-0.27374043628705635
2,single_phase,rruff,mae_b,3.0827380399131212,3.05869002751317,0.024048012399951357
2,single_phase,rruff,mape_b_med,23.208170056464418,22.30484739903369,0.9033226574307278
2,single_phase,rruff,mae_c,3.6716995576534224,3.724539945336132,-0.05284038768270971
2,single_phase,rruff,mape_c_med,30.100367041229646,33.052618243624465,-2.9522512023948195
2,single_phase,rruff,mae_ang,5.9464132037292305,5.9143106359891044,0.0321025677401261
2,single_phase,rruff,mae_vol,503.43158409678335,497.25834750024507,6.173236596538288
2,single_phase,rruff,mape_vol_med,41.55743408203125,41.796321868896484,-0.23888778686523438
2,single_phase,opxrd,sys_acc,0.5177664974619289,0.5431472081218274,-0.025380710659898442
2,single_phase,opxrd,mae_a,3.276425033598895,3.3919172848642583,-0.11549225126536333
2,single_phase,opxrd,mae_a_med,2.15638088851418,2.2183000795945897,-0.061919191080409774
2,single_phase,opxrd,mape_a_med,27.258043464652832,25.999578897147558,1.2584645675052748
2,single_phase,opxrd,mae_b,3.5928485996013033,3.627754008710926,-0.03490540910962281
2,single_phase,opxrd,mape_b_med,26.729372482834304,26.146706443618427,0.5826660392158765
2,single_phase,opxrd,mae_c,4.993209918689373,5.1445984496609585,-0.15138853097158567
2,single_phase,opxrd,mape_c_med,29.577671228342183,31.34263238362405,-1.764961155281867
2,single_phase,opxrd,mae_ang,5.133435999602436,5.153468096906242,-0.020032097303806395
2,single_phase,opxrd,mae_vol,3252.7875243443523,3269.3892489205764,-16.601724576224115
2,single_phase,opxrd,mape_vol_med,40.40327072143555,43.83945846557617,-3.436187744140625
2,multiphase_diagnostic,combined,sys_acc,0.9811320754716981,0.9811320754716981,0.0
2,multiphase_diagnostic,combined,sg_acc,0.05333333333333334,0.41333333333333333,-0.36
2,multiphase_diagnostic,combined,sg_top5,0.09333333333333334,0.7466666666666667,-0.6533333333333333
2,multiphase_diagnostic,combined,el_f1_micro,0.030952380952380953,0.6362416107382549,-0.605289229785874
2,multiphase_diagnostic,combined,el_exact,0.0,0.5362318840579711,-0.5362318840579711
