fold,arm,eval_set,candidate,reference_epochs,optimizer_steps,el_threshold,scope,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mae_a_med,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,el_n,el_f1_micro,el_exact
1,single_phase_only,single_phase,stronger,10,440,0.3,combined,482,209,0.4354066985645933,0.7129186602870813,475,0.5305263157894737,466,3.6495969140129354,3.253918921882136,3.900504070612099,5.158870210220857,2538.7318250795292,1.84393344527675,24.303970428298445,21.44372117232393,26.145492298516096,42.59023475646973,272,0.5614457831325301,0.003676470588235294
1,single_phase_only,single_phase,stronger,10,440,0.3,rruff,272,209,0.4354066985645933,0.7129186602870813,265,0.5584905660377358,256,2.3105593275246434,2.5720991987686044,2.8930813348271154,5.122440519414008,360.748752117157,1.5858312761289288,21.030775422474782,18.69800598363639,24.58328599179142,36.64197540283203,272,0.5614457831325301,0.003676470588235294
1,single_phase_only,single_phase,stronger,10,440,0.3,opxrd,210,0,,,210,0.49523809523809526,210,5.281947495636758,4.085089631963393,5.128600358045222,5.2032797380615845,5193.796904500326,2.346699676489589,28.864350656858775,26.962116578767375,28.116433890792127,56.25531578063965,0,,
1,single_phase_only,multiphase_diagnostic,stronger,10,440,0.3,combined,214,146,0.2191780821917808,0.6027397260273972,53,0.9622641509433962,53,1.2063572752331082,1.949161273896181,2.8648809928010683,10.69356286852522,122.02811726983988,0.9708548200401701,27.136282997146985,39.9008661409036,67.80320772742972,151.2920379638672,175,0.0,0.0
1,single_phase_only,multiphase_diagnostic,stronger,10,440,0.3,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
1,single_phase_only,multiphase_diagnostic,stronger,10,440,0.3,opxrd,214,146,0.2191780821917808,0.6027397260273972,53,0.9622641509433962,53,1.2063572752331082,1.949161273896181,2.8648809928010683,10.69356286852522,122.02811726983988,0.9708548200401701,27.136282997146985,39.9008661409036,67.80320772742972,151.2920379638672,175,0.0,0.0
2,zero_shot,single_phase,pretrain,0,0,0.5,combined,469,228,0.16666666666666666,0.4649122807017544,464,0.33405172413793105,456,3.6594896660728944,3.782312601618814,4.614921232308608,6.368192337613588,1854.0314709680122,2.3259040945198355,31.046103354080635,27.88753378095594,35.98990632845986,53.97370719909668,272,0.22433718558803536,0.003676470588235294
2,zero_shot,single_phase,pretrain,0,0,0.5,rruff,272,228,0.16666666666666666,0.4649122807017544,267,0.37453183520599254,259,2.9858832419728465,3.088032354227077,3.8693411021909614,6.683605981886935,503.5421853378473,1.9734842351551087,28.548558085030272,24.549467868084093,37.54481026494121,41.242156982421875,272,0.22433718558803536,0.003676470588235294
2,zero_shot,single_phase,pretrain,0,0,0.5,opxrd,197,0,,,197,0.27918781725888325,197,4.545094051057221,4.695097292352114,5.595150946524192,5.953511455041014,3629.5478414157924,2.7687188855393163,35.797730076583235,33.32457821481581,33.66538983739273,64.67684173583984,0,,
2,zero_shot,multiphase_diagnostic,pretrain,0,0,0.5,combined,226,75,0.0,0.013333333333333334,106,0.32075471698113206,106,1.4762841758793896,1.6057849394804624,1.983319342013307,7.070379800371386,73.82157548868432,1.4438512738959217,40.08471140805129,42.85138158604194,53.49961621681202,136.06578063964844,138,0.030360531309297913,0.0
2,zero_shot,multiphase_diagnostic,pretrain,0,0,0.5,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
2,zero_shot,multiphase_diagnostic,pretrain,0,0,0.5,opxrd,226,75,0.0,0.013333333333333334,106,0.32075471698113206,106,1.4762841758793896,1.6057849394804624,1.983319342013307,7.070379800371386,73.82157548868432,1.4438512738959217,40.08471140805129,42.85138158604194,53.49961621681202,136.06578063964844,138,0.030360531309297913,0.0
2,all_real_control,single_phase,balanced,17,748,0.3,combined,469,228,0.37719298245614036,0.6622807017543859,464,0.5495689655172413,456,2.989097113914126,3.3045356509692176,4.338030132511551,5.5856133109905866,1694.8675307892915,2.0390032598600882,25.93867541815358,22.89588000338644,32.021763350312426,43.2992057800293,272,0.508273228680526,0.003676470588235294
2,all_real_control,single_phase,balanced,17,748,0.3,rruff,272,228,0.37719298245614036,0.6622807017543859,267,0.5543071161048689,259,2.6827049375543726,3.05869002751317,3.724539945336132,5.9143106359891044,497.25834750024507,1.9174273397689916,25.891844791423335,22.30484739903369,33.052618243624465,41.796321868896484,272,0.508273228680526,0.003676470588235294
2,all_real_control,single_phase,balanced,17,748,0.3,opxrd,197,0,,,197,0.5431472081218274,197,3.3919172848642583,3.627754008710926,5.1445984496609585,5.153468096906242,3269.3892489205764,2.2183000795945897,25.999578897147558,26.146706443618427,31.34263238362405,43.83945846557617,0,,
2,all_real_control,multiphase_diagnostic,balanced,17,748,0.3,combined,226,75,0.41333333333333333,0.7466666666666667,106,0.9811320754716981,106,0.13581580413294417,0.217743928471559,0.17175173651919423,1.1102469638135384,8.551610838692143,0.0700274004492798,1.9456966054131937,4.676845257656181,2.2282814675435483,8.07788610458374,138,0.6362416107382549,0.5362318840579711
2,all_real_control,multiphase_diagnostic,balanced,17,748,0.3,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
2,all_real_control,multiphase_diagnostic,balanced,17,748,0.3,opxrd,226,75,0.41333333333333333,0.7466666666666667,106,0.9811320754716981,106,0.13581580413294417,0.217743928471559,0.17175173651919423,1.1102469638135384,8.551610838692143,0.0700274004492798,1.9456966054131937,4.676845257656181,2.2282814675435483,8.07788610458374,138,0.6362416107382549,0.5362318840579711
